label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
50423:ch2-50437:ch3,2,5,0.9972469735791386,0.00011496356548112122,1.0027569457352135,reliable,26.42559109874826
50423:ch3-50437:ch3,0,5,0.9969900871582043,0.00011513484735390258,1.003014561649043,reliable,24.339360222531294
50423:ch3-50423:ch2,0,2,0.9963977488904642,0.00011467047798912559,1.003608865031249,reliable,24.130737134909598
50423:ch3-50442:ch3,0,8,0.9948670429210384,0.00011468664515560088,1.0051464993299541,reliable,24.895688456189152
50437:ch3-50442:ch3,5,8,0.9928463915094791,0.00011454202661110495,1.007179957758618,reliable,26.91237830319889
50423:ch2-50442:ch3,2,8,0.992704861379467,0.00011456425707935663,1.0073224630936262,reliable,24.895688456189152
50423:ch3-50442:ch1,0,6,0.9869364592410996,0.00011439610538694892,1.0131518674254898,reliable,22.739916550764953
50437:ch2-50442:ch2,4,7,0.9834471573067205,0.0001134194229843673,1.016692353241576,reliable,24.061196105702365
50437:ch3-50442:ch1,5,6,0.9830256810821288,0.00011432595357935159,1.0171226625017946,reliable,19.262865090403338
50423:ch2-50442:ch1,2,6,0.9825504824388922,0.00011395656920029334,1.017606206214684,reliable,21.835883171070932
50423:ch2-50442:ch2,2,7,0.9818446351111484,0.00011302044943358368,1.0183224342108008,reliable,21.627260083449237
50437:ch3-50442:ch2,5,7,0.9806601641205943,0.00011201681831975565,1.0195293283420797,reliable,21.835883171070932
50442:ch1-50442:ch3,6,8,0.9759709647442739,0.00011617523170538362,1.0243262719911397,reliable,20.23643949930459
50442:ch2-50442:ch3,7,8,0.9730987278719246,0.00011344586986391975,1.0272680892602848,reliable,21.7663421418637
50423:ch3-50442:ch2,0,7,0.9712303295157828,0.00011107243513019595,1.0291864832793436,reliable,18.219749652294855
50423:ch2-50437:ch2,2,4,0.9492220988531774,0.00011018285383263305,1.0520725587356898,reliable,13.699582753824757
50442:ch1-50442:ch2,6,7,0.9487486696378706,0.00011351321780160681,1.0525786126208756,reliable,18.567454798331017
50437:ch2-50437:ch3,4,5,0.947249960250082,0.00010874881334972802,1.0541463882096476,reliable,14.74269819193324
50437:ch1-50442:ch1,3,6,0.9448981523238477,0.00012861352574159343,1.0566537588311513,reliable,23.157162726008345
50437:ch2-50442:ch3,4,8,0.932166509823871,0.00011201936685201594,1.0701421541634084,reliable,15.368567454798331
50423:ch3-50437:ch2,0,4,0.9296499463048172,0.00010702619831200739,1.072825816232239,reliable,9.109874826147427
50423:ch3-50437:ch1,0,3,0.9270693642565934,0.0001434728540148222,1.075640222386534,reliable,16.82892906815021
50423:ch1-50442:ch3,1,8,0.9164599599019307,0.00016128592053648162,1.0871088062665226,reliable,21.627260083449237
50437:ch1-50442:ch3,3,8,0.9109330898200111,0.00015919515262788133,1.0930995251581528,reliable,17.17663421418637
50437:ch1-50437:ch3,3,5,0.9104081163316238,0.00015192304661133137,1.0936598761836447,reliable,17.52433936022253
50423:ch2-50437:ch1,2,3,0.9073123937727698,0.00015253191189582352,1.0970371578538909,reliable,16.481223922114047
50437:ch2-50442:ch1,4,6,0.904900159918485,0.00011240542324595591,1.0996258962724974,reliable,13.838664812239221
50423:ch3-50423:ch1,0,1,0.8957519259885074,0.0001767308903942966,1.109765959542084,reliable,20.097357440890125
50423:ch1-50442:ch2,1,7,0.8943199333213985,0.00019262318887411104,1.1113646248672813,reliable,19.749652294853963
50423:ch1-50437:ch3,1,5,0.8942198526329496,0.00018022719710900285,1.1114597743066807,reliable,19.819193324061196
50423:ch1-50423:ch2,1,2,0.8903906686304814,0.000192573675990979,1.1157129309273204,reliable,20.23643949930459
50423:ch1-50437:ch2,1,4,0.8522007036793336,0.00021104952406333238,1.158743770818761,reliable,17.593880389429764
50423:ch1-50442:ch1,1,6,0.8467735404276383,0.00026387822674914485,1.1650383211929944,reliable,17.385257301808068
50437:ch1-50442:ch2,3,7,0.8372151595035217,0.00018673083359302736,1.1759515162273897,reliable,16.759388038942976
50423:ch1-50437:ch1,1,3,0.7795426482931287,0.0004024994876594017,1.244378597455572,reliable,16.968011126564672
50437:ch1-50437:ch2,3,4,0.7629227315813558,0.0002083849190672378,1.2643174020380887,reliable,14.812239221140473
