label,i,j,rho_star,drho_mean,reff_mean,zone,nonstationary_pct
GOOGL-MSFT,1,2,0.6904288813674646,0.014569845546058566,1.3583063418459729,reliable,52.17391304347826
AAPL-MSFT,0,2,0.6572767577745998,0.023608393283285397,1.393821262768658,reliable,56.52173913043478
MSFT-NVDA,2,3,0.6403143662931617,0.018241118068499904,1.415247207221431,reliable,39.130434782608695
AAPL-NVDA,0,3,0.6153116668961129,0.015173751054275094,1.446705180164401,reliable,47.82608695652174
AAPL-GOOGL,0,1,0.5949586766751204,0.019855600195248423,1.4723809862705366,reliable,52.17391304347826
GOOGL-NVDA,1,3,0.5282803980611037,0.017059881221233607,1.5388880446986506,reliable,39.130434782608695
